Date,Gougouhema_0,Djero_0,Dargue_0,Dargue_4
2002-08-01,,,,
2002-08-02,,,,
2002-08-03,,,,
2002-08-04,,,,
2002-08-05,,,,
2002-08-06,,,,
2002-08-07,,,,
2002-08-08,,,,
2002-08-09,,,,
2002-08-10,,,,
2002-08-11,,,,
2002-08-12,,,,
2002-08-13,,,,
2002-08-14,,,,
2002-08-15,,,,
2002-08-16,,,,
2002-08-17,,,,
2002-08-18,,,,
2002-08-19,,,,
2002-08-20,,0.10376027790188808,,
2002-08-21,,,,
2002-08-22,,,,
2002-08-23,,,,
2002-08-24,,,,
2002-08-25,,,,
2002-08-26,,,,
2002-08-27,,,,
2002-08-28,,,,
2002-08-29,,,,
2002-08-30,,,,
2002-08-31,,,0.19244647659475111,0.22653103700605837
2002-09-01,,,,
2002-09-02,,,,
2002-09-03,,,,
2002-09-04,,,,
2002-09-05,,0.11376891965321136,,
2002-09-06,,,,
2002-09-07,,,,
2002-09-08,,,,
2002-09-09,,,,
2002-09-10,,,,
2002-09-11,,,,
2002-09-12,,,,
2002-09-13,,,,
2002-09-14,,,,
2002-09-15,,,,
2002-09-16,,,,
2002-09-17,,,,
2002-09-18,,,,
2002-09-19,,,,
2002-09-20,,,,
2002-09-21,,,,
2002-09-22,,,,
2002-09-23,0.1662488870079416,,,
2002-09-24,,,,
2002-09-25,,,,
2002-09-26,,,,
2002-09-27,,,,
2002-09-28,,,,
2002-09-29,,,,
2002-09-30,,,,
2002-10-01,,,,
2002-10-02,,,,
2002-10-03,,,,
2002-10-04,,,,
2002-10-05,,,,
2002-10-06,,,,
2002-10-07,,,,
2002-10-08,,,,
2002-10-09,,,,
2002-10-10,,,,
2002-10-11,,,,
2002-10-12,,,,
2002-10-13,,,,
2002-10-14,,,,
2002-10-15,,,,
2002-10-16,,,,
2002-10-17,,,,
2002-10-18,,,,
2002-10-19,,,,
2002-10-20,,,,
2002-10-21,,,,
2002-10-22,,,,
2002-10-23,,0.1137372865241297,,
2002-10-24,,,,
2002-10-25,,,,
2002-10-26,,,,
2002-10-27,,,,
2002-10-28,,,,
2002-10-29,,,,
2002-10-30,,,,
2002-10-31,,,,
2002-11-01,,,,
2002-11-02,,,,
2002-11-03,,,0.12826258154227174,0.13726158349772968
2002-11-04,,,,
2002-11-05,,,,
2002-11-06,,,,
2002-11-07,,,,
2002-11-08,,,,
2002-11-09,,,,
2002-11-10,,,,
2002-11-11,,,,
2002-11-12,,,,
2002-11-13,,,,
2002-11-14,,,,
2002-11-15,,,,
2002-11-16,,,,
2002-11-17,,,,
2002-11-18,,,,
2002-11-19,,,,
2002-11-20,,,,
2002-11-21,,,,
2002-11-22,,,,
2002-11-23,,,,
2002-11-24,,,,
2002-11-25,,,,
2002-11-26,0.10260396731275628,,,
2002-11-27,,,,
2002-11-28,,,,
2002-11-29,,,,
2002-11-30,,,,
2002-12-01,,,,
2002-12-02,,,,
2002-12-03,,,,
2002-12-04,,,,
2002-12-05,,,,
2002-12-06,,,,
2002-12-07,,,,
2002-12-08,,,,
2002-12-09,,,,
2002-12-10,,,,
2002-12-11,,,,
2002-12-12,,,,
2002-12-13,,,,
2002-12-14,,,,
2002-12-15,,,,
2002-12-16,,,,
2002-12-17,,,,
2002-12-18,,,,
2002-12-19,,,,
2002-12-20,,,,
2002-12-21,,,,
2002-12-22,,,,
2002-12-23,,,,
2002-12-24,,,,
2002-12-25,,,,
2002-12-26,,,,
2002-12-27,,,,
2002-12-28,,,,
2002-12-29,,,,
2002-12-30,,,,
2002-12-31,,,,
2003-01-01,,,,
2003-01-02,,,,
2003-01-03,,,,
2003-01-04,,,,
2003-01-05,,,,
2003-01-06,,,,
2003-01-07,,,,
2003-01-08,,,,
2003-01-09,,,,
2003-01-10,,,,
2003-01-11,,,,
2003-01-12,,,,
2003-01-13,,,,
2003-01-14,,,,
2003-01-15,,,,
2003-01-16,,,,
2003-01-17,,,,
2003-01-18,,,,
2003-01-19,,,,
2003-01-20,,,,
2003-01-21,,,,
2003-01-22,,,,
2003-01-23,,,,
2003-01-24,,,,
2003-01-25,,,,
2003-01-26,,,,
2003-01-27,,,,
2003-01-28,,,,
2003-01-29,,,,
2003-01-30,,,,
2003-01-31,,,,
2003-02-01,,,,
2003-02-02,,,,
2003-02-03,,,,
2003-02-04,,,,
2003-02-05,,,,
2003-02-06,,,,
2003-02-07,,,0.11835876821281328,0.12540768557733573
2003-02-08,,,,
2003-02-09,,,,
2003-02-10,,,,
2003-02-11,,,,
2003-02-12,,0.06572013621544774,,
2003-02-13,,,,
2003-02-14,,,,
2003-02-15,,,,
2003-02-16,,,,
2003-02-17,,,,
2003-02-18,,,,
2003-02-19,,,,
2003-02-20,,,,
2003-02-21,,,,
2003-02-22,,,,
2003-02-23,,,,
2003-02-24,,,,
2003-02-25,,,,
2003-02-26,,,,
2003-02-27,,,,
2003-02-28,,,,
2003-03-01,,,,
2003-03-02,0.08148886750672671,,,
2003-03-03,,,,
2003-03-04,,,,
2003-03-05,,,,
2003-03-06,,,,
2003-03-07,,,,
2003-03-08,,,,
2003-03-09,,,,
2003-03-10,,,,
2003-03-11,,,,
2003-03-12,,,,
2003-03-13,,,,
2003-03-14,,,,
2003-03-15,,,,
2003-03-16,,0.07123035726550707,,
2003-03-17,,,,
2003-03-18,,,,
2003-03-19,,,,
2003-03-20,,,,
2003-03-21,,,,
2003-03-22,,,,
2003-03-23,,,,
2003-03-24,,,,
2003-03-25,,,,
2003-03-26,,,,
2003-03-27,,,,
2003-03-28,,,,
2003-03-29,,,,
2003-03-30,,,,
2003-03-31,,,,
2003-04-01,,,,
2003-04-02,,,,
2003-04-03,,,,
2003-04-04,,,,
2003-04-05,,,,
2003-04-06,,,,
2003-04-07,,,,
2003-04-08,,,,
2003-04-09,,,,
2003-04-10,,,,
2003-04-11,,,,
2003-04-12,,,,
2003-04-13,,,,
2003-04-14,,,,
2003-04-15,,,,
2003-04-16,,,,
2003-04-17,,,,
2003-04-18,,,,
2003-04-19,,,,
2003-04-20,,,,
2003-04-21,,,,
2003-04-22,,,,
2003-04-23,,,,
2003-04-24,,,,
2003-04-25,,,,
2003-04-26,,,,
2003-04-27,,,,
2003-04-28,,,,
2003-04-29,,,,
2003-04-30,,,,
2003-05-01,,,,
2003-05-02,,,,
2003-05-03,,,,
2003-05-04,,,,
2003-05-05,0.08661616973409399,,,
2003-05-06,,,,
2003-05-07,,,,
2003-05-08,,,,
2003-05-09,,,,
2003-05-10,,,,
2003-05-11,,,,
2003-05-12,,,,
2003-05-13,,,,
2003-05-14,,,0.09750782757139943,0.10404358638006779
2003-05-15,,,,
2003-05-16,,,,
2003-05-17,,,,
2003-05-18,,,,
2003-05-19,,,,
2003-05-20,,,,
2003-05-21,,,,
2003-05-22,,,,
2003-05-23,,,,
2003-05-24,,,,
2003-05-25,,,,
2003-05-26,,,,
2003-05-27,,,,
2003-05-28,,,,
2003-05-29,,,,
2003-05-30,,,,
2003-05-31,,,,
2003-06-01,,,,
2003-06-02,,,,
2003-06-03,,,,
2003-06-04,,,,
2003-06-05,,,,
2003-06-06,,,,
2003-06-07,,,,
2003-06-08,,,,
2003-06-09,,,,
2003-06-10,,,,
2003-06-11,,,,
2003-06-12,,,,
2003-06-13,,,,
2003-06-14,,,,
2003-06-15,,,,
2003-06-16,,,,
2003-06-17,,,,
2003-06-18,,,,
2003-06-19,,,,
2003-06-20,,,,
2003-06-21,,,,
2003-06-22,,,,
2003-06-23,,,,
2003-06-24,,,,
2003-06-25,,,,
2003-06-26,,,,
2003-06-27,,,,
2003-06-28,,,,
2003-06-29,,,,
2003-06-30,,,,
2003-07-01,,,,
2003-07-02,,,,
2003-07-03,,,,
2003-07-04,,,,
2003-07-05,,,,
2003-07-06,,,,
2003-07-07,,,,
2003-07-08,,,,
2003-07-09,,,,
2003-07-10,,,,
2003-07-11,,,,
2003-07-12,,,,
2003-07-13,,,,
2003-07-14,,,,
2003-07-15,,,,
2003-07-16,,,,
2003-07-17,,,,
2003-07-18,,,,
2003-07-19,,,,
2003-07-20,,,,
2003-07-21,,,,
2003-07-22,,,,
2003-07-23,,,,
2003-07-24,,,,
2003-07-25,,,,
2003-07-26,,,,
2003-07-27,,,,
2003-07-28,,,,
2003-07-29,,,,
2003-07-30,,,,
2003-07-31,,,,
2003-08-01,,,,
2003-08-02,,,,
2003-08-03,,,,
2003-08-04,,,,
2003-08-05,,,,
2003-08-06,,,,
2003-08-07,,,,
2003-08-08,,,,
2003-08-09,,,,
2003-08-10,,,,
2003-08-11,,,,
2003-08-12,,,,
2003-08-13,,,,
2003-08-14,,,,
2003-08-15,,,,
2003-08-16,,,,
2003-08-17,,,,
2003-08-18,,,,
2003-08-19,,,,
2003-08-20,,,,
2003-08-21,,,,
2003-08-22,,,,
2003-08-23,,0.0,,
2003-08-24,,,,
2003-08-25,,,,
2003-08-26,,,,
2003-08-27,,,,
2003-08-28,,,,
2003-08-29,,,,
2003-08-30,,,,
2003-08-31,,,,
2003-09-01,,,,
2003-09-02,,,,
2003-09-03,,,,
2003-09-04,,,,
2003-09-05,,,,
2003-09-06,,,,
2003-09-07,,,,
2003-09-08,,,,
2003-09-09,,,,
2003-09-10,,,,
2003-09-11,,,,
2003-09-12,,,,
2003-09-13,,,,
2003-09-14,,,,
2003-09-15,,,,
2003-09-16,,,,
2003-09-17,,,,
2003-09-18,,,,
2003-09-19,,,-0.16632606618463885,-0.31819267270683194
2003-09-20,,,,
2003-09-21,,,,
2003-09-22,,,,
2003-09-23,,,,
2003-09-24,,,,
2003-09-25,,,,
2003-09-26,0.16021557748651727,,,
2003-09-27,,,,
2003-09-28,,,,
2003-09-29,,,,
2003-09-30,,,,
2003-10-01,,,,
2003-10-02,,,,
2003-10-03,,,,
2003-10-04,,,,
2003-10-05,,,,
2003-10-06,,,,
2003-10-07,,,,
2003-10-08,,,,
2003-10-09,,,,
2003-10-10,,,,
2003-10-11,,,,
2003-10-12,0.13105743815773868,,,
2003-10-13,,,,
2003-10-14,,,,
2003-10-15,,,,
2003-10-16,,,,
2003-10-17,,,,
2003-10-18,,,,
2003-10-19,,,,
2003-10-20,,,,
2003-10-21,,,0.13212679289877433,0.14901478435017443
2003-10-22,,,,
2003-10-23,,,,
2003-10-24,,,,
2003-10-25,,,,
2003-10-26,,0.0842835301711103,,
2003-10-27,,,,
2003-10-28,,,,
2003-10-29,,,,
2003-10-30,,,,
2003-10-31,,,,
2003-11-01,,,,
2003-11-02,,,,
2003-11-03,,,,
2003-11-04,,,,
2003-11-05,,,,
2003-11-06,,,0.10335160677032942,0.10431029882399039
2003-11-07,,,,
2003-11-08,,,,
2003-11-09,,,,
2003-11-10,,,,
2003-11-11,,,,
2003-11-12,,,,
2003-11-13,0.13097845200832098,,,
2003-11-14,,,,
2003-11-15,,,,
2003-11-16,,,,
2003-11-17,,,,
2003-11-18,,,,
2003-11-19,,,,
2003-11-20,,,,
2003-11-21,,,,
2003-11-22,,,0.11315129315262382,0.12126986319898124
2003-11-23,,,,
2003-11-24,,,,
2003-11-25,,,,
2003-11-26,,,,
2003-11-27,,0.0768270463323438,,
2003-11-28,,,,
2003-11-29,0.100902494967095,,,
2003-11-30,,,,
2003-12-01,,,,
2003-12-02,,,,
2003-12-03,,,,
2003-12-04,,,,
2003-12-05,,,,
2003-12-06,,,,
2003-12-07,,,,
2003-12-08,,,0.10223308520727055,0.11179444085754701
2003-12-09,,,,
2003-12-10,,,,
2003-12-11,,,,
2003-12-12,,,,
2003-12-13,,0.06843111776181862,,
2003-12-14,,,,
2003-12-15,0.09523092257906021,,,
2003-12-16,,,,
2003-12-17,,,,
2003-12-18,,,,
2003-12-19,,,,
2003-12-20,,,,
2003-12-21,,,,
2003-12-22,,,,
2003-12-23,,,,
2003-12-24,,,0.1043510316128743,0.11298849704544321
2003-12-25,,,,
2003-12-26,,,,
2003-12-27,,,,
2003-12-28,,,,
2003-12-29,,0.06610178578856012,,
2003-12-30,,,,
2003-12-31,0.10334641612297527,,,
2004-01-01,,,,
2004-01-02,,,,
2004-01-03,,,,
2004-01-04,,,,
2004-01-05,,,,
2004-01-06,,,,
2004-01-07,,,,
2004-01-08,,,,
2004-01-09,,,,
2004-01-10,,,,
2004-01-11,,,,
2004-01-12,,,,
2004-01-13,,,,
2004-01-14,,,,
2004-01-15,,,,
2004-01-16,,,,
2004-01-17,,,,
2004-01-18,,,,
2004-01-19,,,,
2004-01-20,,,,
2004-01-21,,,,
2004-01-22,,,,
2004-01-23,,,,
2004-01-24,,,,
2004-01-25,,,,
2004-01-26,,,,
2004-01-27,,,,
2004-01-28,,,,
2004-01-29,,,,
2004-01-30,,,,
2004-01-31,,,,
2004-02-01,0.09616241671913688,,,
2004-02-02,,,,
2004-02-03,,,,
2004-02-04,,,,
2004-02-05,,,,
2004-02-06,,,,
2004-02-07,,,,
2004-02-08,,,,
2004-02-09,,,,
2004-02-10,,,,
2004-02-11,,,,
2004-02-12,,,,
2004-02-13,,,,
2004-02-14,,,,
2004-02-15,,,,
2004-02-16,,,,
2004-02-17,,,,
2004-02-18,,,,
2004-02-19,,,,
2004-02-20,,,,
2004-02-21,,,,
2004-02-22,,,,
2004-02-23,,,,
2004-02-24,,,,
2004-02-25,,,,
2004-02-26,,,0.09891655855178895,0.10115137082617623
2004-02-27,,,,
2004-02-28,,,,
2004-02-29,,,,
2004-03-01,,,,
2004-03-02,,,,
2004-03-03,,,,
2004-03-04,,,,
2004-03-05,,,,
2004-03-06,,,,
2004-03-07,,,,
2004-03-08,,,,
2004-03-09,,,,
2004-03-10,,,,
2004-03-11,,,,
2004-03-12,,,,
2004-03-13,,,,
2004-03-14,,,,
2004-03-15,,,,
2004-03-16,,,,
2004-03-17,,,,
2004-03-18,,,,
2004-03-19,,,,
2004-03-20,0.05188709345794659,,,
2004-03-21,,,,
2004-03-22,,,,
2004-03-23,,,,
2004-03-24,,,,
2004-03-25,,,,
2004-03-26,,,,
2004-03-27,,,,
2004-03-28,,,,
2004-03-29,,,,
2004-03-30,,,,
2004-03-31,,,,
2004-04-01,,,,
2004-04-02,,,,
2004-04-03,,0.06614943148041381,,
2004-04-04,,,,
2004-04-05,0.08806503300780094,,,
2004-04-06,,,,
2004-04-07,,,,
2004-04-08,,,,
2004-04-09,,,,
2004-04-10,,,,
2004-04-11,,,,
2004-04-12,,,,
2004-04-13,,,,
2004-04-14,,,0.08750233247764565,0.08994076228138467
2004-04-15,,,,
2004-04-16,,,,
2004-04-17,,,,
2004-04-18,,,,
2004-04-19,,0.04639855734846022,,
2004-04-20,,,,
2004-04-21,,,,
2004-04-22,,,,
2004-04-23,,,,
2004-04-24,,,,
2004-04-25,,,,
2004-04-26,,,,
2004-04-27,,,,
2004-04-28,,,,
2004-04-29,,,,
2004-04-30,,,,
2004-05-01,,,,
2004-05-02,,,,
2004-05-03,,,,
2004-05-04,,,,
2004-05-05,,,,
2004-05-06,,,,
2004-05-07,,,,
2004-05-08,,,,
2004-05-09,,,,
2004-05-10,,,,
2004-05-11,,,,
2004-05-12,,,,
2004-05-13,,,,
2004-05-14,,,,
2004-05-15,,,,
2004-05-16,,,0.08232571911614207,0.08616746008496948
2004-05-17,,,,
2004-05-18,,,,
2004-05-19,,,,
2004-05-20,,,,
2004-05-21,,0.07527500411065893,,
2004-05-22,,,,
2004-05-23,0.08410273685364433,,,
2004-05-24,,,,
2004-05-25,,,,
2004-05-26,,,,
2004-05-27,,,,
2004-05-28,,,,
2004-05-29,,,,
2004-05-30,,,,
2004-05-31,,,,
2004-06-01,,,,
2004-06-02,,,,
2004-06-03,,,,
2004-06-04,,,,
2004-06-05,,,,
2004-06-06,,0.05468748384061736,,
2004-06-07,,,,
2004-06-08,,,,
2004-06-09,,,,
2004-06-10,,,,
2004-06-11,,,,
2004-06-12,,,,
2004-06-13,,,,
2004-06-14,,,,
2004-06-15,,,,
2004-06-16,,,,
2004-06-17,,,0.08801316113170835,0.09990995891319229
2004-06-18,,,,
2004-06-19,,,,
2004-06-20,,,,
2004-06-21,,,,
2004-06-22,,,,
2004-06-23,,,,
2004-06-24,0.05730147560492626,,,
2004-06-25,,,,
2004-06-26,,,,
2004-06-27,,,,
2004-06-28,,,,
2004-06-29,,,,
2004-06-30,,,,
2004-07-01,,,,
2004-07-02,,,,
2004-07-03,,,0.09164214710234234,0.11106776301674814
2004-07-04,,,,
2004-07-05,,,,
2004-07-06,,,,
2004-07-07,,,,
2004-07-08,,,,
2004-07-09,,,,
2004-07-10,,,,
2004-07-11,,,,
2004-07-12,,,,
2004-07-13,,,,
2004-07-14,,,,
2004-07-15,,,,
2004-07-16,,,,
2004-07-17,,,,
2004-07-18,,,,
2004-07-19,,,,
2004-07-20,,,,
2004-07-21,,,,
2004-07-22,,,,
2004-07-23,,,,
2004-07-24,,0.08322107343445206,,
2004-07-25,,,,
2004-07-26,,,,
2004-07-27,,,,
2004-07-28,,,,
2004-07-29,,,,
2004-07-30,,,,
2004-07-31,,,,
2004-08-01,,,,
2004-08-02,,,,
2004-08-03,,,,
2004-08-04,,,0.10801941235861753,0.13011588961913312
2004-08-05,,,,
2004-08-06,,,,
2004-08-07,,,,
2004-08-08,,,,
2004-08-09,,,,
2004-08-10,,,,
2004-08-11,-0.4670355661028237,,,
2004-08-12,,,,
2004-08-13,,,,
2004-08-14,,,,
2004-08-15,,,,
2004-08-16,,,,
2004-08-17,,,,
2004-08-18,,,,
2004-08-19,,,,
2004-08-20,,,,
2004-08-21,,,,
2004-08-22,,,,
2004-08-23,,,,
2004-08-24,,,,
2004-08-25,,,,
2004-08-26,,,,
2004-08-27,,,,
2004-08-28,,,,
2004-08-29,,,,
2004-08-30,,,,
2004-08-31,,,,
2004-09-01,,,,
2004-09-02,,,,
2004-09-03,,,,
2004-09-04,,,,
2004-09-05,,,0.14585188040962524,0.16229786643676786
2004-09-06,,,,
2004-09-07,,,,
2004-09-08,,,,
2004-09-09,,,,
2004-09-10,,,,
2004-09-11,,,,
2004-09-12,,,,
2004-09-13,,,,
2004-09-14,,,,
2004-09-15,,,,
2004-09-16,,,,
2004-09-17,,,,
2004-09-18,,,,
2004-09-19,,,,
2004-09-20,,,,
2004-09-21,,,,
2004-09-22,,,,
2004-09-23,,,,
2004-09-24,,,,
2004-09-25,,,,
2004-09-26,,0.09705596413964361,,
2004-09-27,,,,
2004-09-28,0.12046713106068337,,,
2004-09-29,,,,
2004-09-30,,,,
2004-10-01,,,,
2004-10-02,,,,
2004-10-03,,,,
2004-10-04,,,,
2004-10-05,,,,
2004-10-06,,,,
2004-10-07,,,,
2004-10-08,,,,
2004-10-09,,,,
2004-10-10,,,,
2004-10-11,,,,
2004-10-12,,0.08119374466465965,,
2004-10-13,,,,
2004-10-14,0.12187510420741955,,,
2004-10-15,,,,
2004-10-16,,,,
2004-10-17,,,,
2004-10-18,,,,
2004-10-19,,,,
2004-10-20,,,,
2004-10-21,,,,
2004-10-22,,,,
2004-10-23,,,0.10443904774809087,0.10978405642181767
2004-10-24,,,,
2004-10-25,,,,
2004-10-26,,,,
2004-10-27,,,,
2004-10-28,,0.0856449475713997,,
2004-10-29,,,,
2004-10-30,0.10846083430421487,,,
2004-10-31,,,,
2004-11-01,,,,
2004-11-02,,,,
2004-11-03,,,,
2004-11-04,,,,
2004-11-05,,,,
2004-11-06,,,,
2004-11-07,,,,
2004-11-08,,,0.10989322153663635,0.11801887533935453
2004-11-09,,,,
2004-11-10,,,,
2004-11-11,,,,
2004-11-12,,,,
2004-11-13,,,,
2004-11-14,,,,
2004-11-15,,,,
2004-11-16,,,,
2004-11-17,,,,
2004-11-18,,,,
2004-11-19,,,,
2004-11-20,,,,
2004-11-21,,,,
2004-11-22,,,,
2004-11-23,,,,
2004-11-24,,,0.06620014819896772,0.0665470243448924
2004-11-25,,,,
2004-11-26,,,,
2004-11-27,,,,
2004-11-28,,,,
2004-11-29,,,,
2004-11-30,,,,
2004-12-01,0.1018337897786689,,,
2004-12-02,,,,
2004-12-03,,,,
2004-12-04,,,,
2004-12-05,,,,
2004-12-06,,,,
2004-12-07,,,,
2004-12-08,,,,
2004-12-09,,,,
2004-12-10,,,,
2004-12-11,,,,
2004-12-12,,,,
2004-12-13,,,,
2004-12-14,,,,
2004-12-15,,,,
2004-12-16,,,,
2004-12-17,,,,
2004-12-18,,,,
2004-12-19,,,,
2004-12-20,,,,
2004-12-21,,,,
2004-12-22,,,,
2004-12-23,,,,
2004-12-24,,,,
2004-12-25,,,,
2004-12-26,,,,
2004-12-27,,,,
2004-12-28,,,,
2004-12-29,,,,
2004-12-30,,,,
2004-12-31,,,,
2005-01-01,,,,
2005-01-02,,,,
2005-01-03,,,,
2005-01-04,,,,
2005-01-05,,,,
2005-01-06,,,,
2005-01-07,,,,
2005-01-08,,,,
2005-01-09,,,,
2005-01-10,,,,
2005-01-11,,,,
2005-01-12,,,,
2005-01-13,,,,
2005-01-14,,,,
2005-01-15,,,,
2005-01-16,,,,
2005-01-17,,,,
2005-01-18,,,,
2005-01-19,,,,
2005-01-20,,,,
2005-01-21,,,,
2005-01-22,,,,
2005-01-23,,,,
2005-01-24,,,,
2005-01-25,,,,
2005-01-26,,,,
2005-01-27,,,,
2005-01-28,,,,
2005-01-29,,,,
2005-01-30,,,,
2005-01-31,,,,
2005-02-01,,,,
2005-02-02,,,,
2005-02-03,0.08492368806073973,,,
2005-02-04,,,,
2005-02-05,,,,
2005-02-06,,,,
2005-02-07,,,,
2005-02-08,,,,
2005-02-09,,,,
2005-02-10,,,,
2005-02-11,,,,
2005-02-12,,,,
2005-02-13,,,,
2005-02-14,,,,
2005-02-15,,,,
2005-02-16,,,,
2005-02-17,,0.06577868073733763,,
2005-02-18,,,,
2005-02-19,0.09234753293213889,,,
2005-02-20,,,,
2005-02-21,,,,
2005-02-22,,,,
2005-02-23,,,,
2005-02-24,,,,
2005-02-25,,,,
2005-02-26,,,,
2005-02-27,,,,
2005-02-28,,,0.08400322973045832,0.09031121962967359
2005-03-01,,,,
2005-03-02,,,,
2005-03-03,,,,
2005-03-04,,,,
2005-03-05,,,,
2005-03-06,,,,
2005-03-07,,,,
2005-03-08,,,,
2005-03-09,,,,
2005-03-10,,,,
2005-03-11,,,,
2005-03-12,,,,
2005-03-13,,,,
2005-03-14,,,,
2005-03-15,,,,
2005-03-16,,,0.08776496286901436,0.09047956057369119
2005-03-17,,,,
2005-03-18,,,,
2005-03-19,,,,
2005-03-20,,,,
2005-03-21,,,,
2005-03-22,,,,
2005-03-23,0.07476372735680371,,,
2005-03-24,,,,
2005-03-25,,,,
2005-03-26,,,,
2005-03-27,,,,
2005-03-28,,,,
2005-03-29,,,,
2005-03-30,,,,
2005-03-31,,,,
2005-04-01,,,0.08889428472386117,0.09214214989677133
2005-04-02,,,,
2005-04-03,,,,
2005-04-04,,,,
2005-04-05,,,,
2005-04-06,,0.06936652622028062,,
2005-04-07,,,,
